canton,mes,anio,produccion,area
Oreamuno,junio,2011,42.01,1059.25
Oreamuno,julio,2011,58.800000000000004,1441.5500000000002
Oreamuno,agosto,2011,68.49,1854.66
Oreamuno,septiembre,2011,68.35,727.8
Oreamuno,octubre,2011,64.1,1376.9
Oreamuno,noviembre,2011,57.9,875.6
Oreamuno,diciembre,2011,140.36,3774.87
El Guarco,enero,2011,,
El Guarco,febrero,2011,,
El Guarco,marzo,2011,,
El Guarco,abril,2011,,
El Guarco,mayo,2011,,
El Guarco,junio,2011,,
El Guarco,julio,2011,,
El Guarco,agosto,2011,,
El Guarco,septiembre,2011,,
El Guarco,octubre,2011,,
El Guarco,noviembre,2011,,
El Guarco,diciembre,2011,,
Cartago,enero,2011,61.97,183.0
Cartago,febrero,2011,74.2,2588.0
Cartago,marzo,2011,,
Cartago,abril,2011,15.94,412.46
Cartago,mayo,2011,7.7,182.16
Cartago,junio,2011,3.85,86.53
Cartago,julio,2011,32.379999999999995,842.2
Cartago,agosto,2011,39.04,949.42
Cartago,septiembre,2011,131.34,2362.1
Cartago,octubre,2011,73.48,1238.9
Cartago,noviembre,2011,46.0,766.21
Cartago,diciembre,2011,61.96,1581.3
Alvarado,enero,2011,18.38,460.0
Alvarado,febrero,2011,,
Alvarado,marzo,2011,9.1,130.0
Alvarado,abril,2011,62.72,1440.54
Alvarado,mayo,2011,87.47,2091.44
Alvarado,junio,2011,72.82,1799.01
Alvarado,julio,2011,135.34,3267.15
Alvarado,agosto,2011,79.88,2419.5
Alvarado,septiembre,2011,48.18,1176.7
Alvarado,octubre,2011,25.39,342.0
Alvarado,noviembre,2011,13.18,176.78
Alvarado,diciembre,2011,45.39,1178.72
Turrialba,enero,2012,,
Turrialba,febrero,2012,2.28,14.9
Turrialba,marzo,2012,,
Turrialba,abril,2012,,
Turrialba,mayo,2012,,
Turrialba,junio,2012,,
Turrialba,julio,2012,1.05,27.32
Turrialba,agosto,2012,10.61,252.62
Turrialba,septiembre,2012,1.6,37.3
Turrialba,octubre,2012,4.2,99.4
Turrialba,noviembre,2012,4.2,84.5
Turrialba,diciembre,2012,,
Oreamuno,enero,2012,51.98,911.2
Oreamuno,febrero,2012,61.97,1200.6
Oreamuno,marzo,2012,121.64,2624.3
Oreamuno,abril,2012,94.01,2020.58
Oreamuno,mayo,2012,54.11,1805.7
Oreamuno,junio,2012,29.93,1316.6
Oreamuno,julio,2012,39.22,968.73
Oreamuno,agosto,2012,82.79,1815.6599999999999
Oreamuno,septiembre,2012,55.8,1367.5
Oreamuno,octubre,2012,72.8,1676.7
Oreamuno,noviembre,2012,91.7,2247.2
Oreamuno,diciembre,2012,54.93,1442.6
El Guarco,enero,2012,,
El Guarco,febrero,2012,,
El Guarco,marzo,2012,,
El Guarco,abril,2012,,
El Guarco,mayo,2012,,
El Guarco,junio,2012,,
El Guarco,julio,2012,,
El Guarco,agosto,2012,,
El Guarco,septiembre,2012,,
El Guarco,octubre,2012,,
El Guarco,noviembre,2012,,
El Guarco,diciembre,2012,,
Cartago,enero,2012,93.77,1570.6
Cartago,febrero,2012,78.6,3053.0
Cartago,marzo,2012,54.78,2195.4
Cartago,abril,2012,18.91,1068.17
Cartago,mayo,2012,17.68,340.3
Cartago,junio,2012,11.489999999999998,189.86
Cartago,julio,2012,21.810000000000002,541.21
Cartago,agosto,2012,73.72,1731.54
Cartago,septiembre,2012,92.3,1983.8
Cartago,octubre,2012,49.0,1053.2
Cartago,noviembre,2012,24.5,558.9
Cartago,diciembre,2012,23.2,631.9
Alvarado,enero,2012,54.72,892.0
